profile,attempt,phase,recommended_method,recommended_label,selected_method,method_label,exercise_id,skill_id,correct,response_time_ms,p_l_after,method_q,method_uses
visual_fuerte,1,exploración,,,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,5175,0.648,1.0,1
visual_fuerte,2,exploración,,,M1_visual,Visual,ex_vocal_e_001,vocal_e,1,1579,0.6207,1.0,2
visual_fuerte,3,exploración,,,M1_visual,Visual,ex_vocal_i_001,vocal_i,1,3740,0.648,1.0,3
visual_fuerte,4,exploración,,,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,2647,0.648,1.0,1
visual_fuerte,5,exploración,,,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,1,2839,0.648,1.0,2
visual_fuerte,6,exploración,,,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,5412,0.882,1.0,3
visual_fuerte,7,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_o_001,vocal_o,1,5708,0.9052,1.0,4
visual_fuerte,8,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_u_001,vocal_u,0,4719,0.2846,0.83,5
visual_fuerte,9,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,7345,0.2846,0.75,4
visual_fuerte,10,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,3755,0.6846,0.8583,6
visual_fuerte,11,exploración controlada,M1_visual,Visual,M4_fonetico,Fonético,ex_vocal_i_002,vocal_i,1,1995,0.9059,0.8,5
visual_fuerte,12,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_u_001,vocal_u,1,3634,0.6846,0.8786,7
visual_fuerte,13,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,0,3265,0.3078,0.7875,8
visual_fuerte,14,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,7496,0.1663,0.6667,6
visual_fuerte,15,exploración controlada,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,0,7954,0.1414,0.7,9
visual_fuerte,16,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,4318,0.4946,0.73,10
visual_fuerte,17,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,0,5559,0.2159,0.6773,11
visual_fuerte,18,exploración controlada,M1_visual,Visual,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,5543,0.607,0.7143,7
visual_fuerte,19,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,5876,0.2624,0.6438,8
visual_fuerte,20,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,4025,0.6617,0.7042,12
visual_fuerte,21,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,2887,0.9102,0.7269,13
visual_fuerte,22,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_u_001,vocal_u,1,3722,0.9183,0.7464,14
visual_fuerte,23,exploración controlada,M1_visual,Visual,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,3012,0.9711,0.6833,9
visual_fuerte,24,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_o_001,vocal_o,1,6295,0.98,0.7633,15
visual_fuerte,25,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_i_001,vocal_i,1,3487,0.98,0.7781,16
visual_fuerte,26,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,5207,0.98,0.7912,17
visual_fuerte,27,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_u_001,vocal_u,1,7082,0.98,0.8028,18
visual_fuerte,28,exploración controlada,M1_visual,Visual,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,5669,0.98,0.715,10
visual_fuerte,29,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_o_001,vocal_o,1,2736,0.98,0.8132,19
visual_fuerte,30,exploración controlada,M1_visual,Visual,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,7921,0.8765,0.65,11
visual_fuerte,31,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,4194,0.9733,0.8225,20
visual_fuerte,32,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,4828,0.98,0.831,21
visual_fuerte,33,exploración controlada,M1_visual,Visual,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,7736,0.8765,0.5958,12
visual_fuerte,34,exploración controlada,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,1872,0.9735,0.8386,22
visual_fuerte,35,exploración controlada,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,4476,0.98,0.8457,23
visual_fuerte,36,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,2116,0.98,0.8521,24
visual_fuerte,37,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,3664,0.98,0.858,25
visual_fuerte,38,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,3581,0.98,0.8635,26
visual_fuerte,39,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,4000,0.98,0.8685,27
visual_fuerte,40,personalización,M1_visual,Visual,M1_visual,Visual,ex_vocal_a_001,vocal_a,1,2945,0.98,0.8732,28
fonetico_fuerte,1,exploración,,,M1_visual,Visual,ex_vocal_a_001,vocal_a,0,5711,0.1552,0.15,1
fonetico_fuerte,2,exploración,,,M1_visual,Visual,ex_vocal_e_001,vocal_e,0,6782,0.1552,0.075,2
fonetico_fuerte,3,exploración,,,M1_visual,Visual,ex_vocal_i_001,vocal_i,0,7026,0.1552,0.05,3
fonetico_fuerte,4,exploración,,,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,5154,0.5183,1.0,1
fonetico_fuerte,5,exploración,,,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,5988,0.5183,1.0,2
fonetico_fuerte,6,exploración,,,M4_fonetico,Fonético,ex_vocal_i_002,vocal_i,1,4522,0.5183,1.0,3
fonetico_fuerte,7,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,0,6213,0.1552,0.75,4
fonetico_fuerte,8,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,1,5472,0.648,0.8,5
fonetico_fuerte,9,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,6044,0.5183,0.8333,6
fonetico_fuerte,10,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4177,0.8493,0.8571,7
fonetico_fuerte,11,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,3489,0.8493,0.875,8
fonetico_fuerte,12,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_i_002,vocal_i,1,4095,0.8493,0.8889,9
fonetico_fuerte,13,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,2972,0.8493,0.9,10
fonetico_fuerte,14,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,1,4637,0.9052,0.9091,11
fonetico_fuerte,15,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,6252,0.9666,0.9167,12
fonetico_fuerte,16,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,4042,0.9666,0.9231,13
fonetico_fuerte,17,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_i_002,vocal_i,1,2505,0.9666,0.9286,14
fonetico_fuerte,18,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,4011,0.9666,0.9333,15
fonetico_fuerte,19,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,1,4700,0.98,0.9375,16
fonetico_fuerte,20,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4178,0.98,0.9412,17
fonetico_fuerte,21,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,4245,0.98,0.9444,18
fonetico_fuerte,22,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_i_002,vocal_i,1,3421,0.98,0.9474,19
fonetico_fuerte,23,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,5478,0.98,0.95,20
fonetico_fuerte,24,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,1,4690,0.98,0.9524,21
fonetico_fuerte,25,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,2240,0.98,0.9545,22
fonetico_fuerte,26,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,3647,0.98,0.9565,23
fonetico_fuerte,27,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,3214,0.98,0.9583,24
fonetico_fuerte,28,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,5768,0.98,0.96,25
fonetico_fuerte,29,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,3768,0.98,0.9615,26
fonetico_fuerte,30,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,5093,0.98,0.963,27
fonetico_fuerte,31,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4791,0.98,0.9643,28
fonetico_fuerte,32,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4788,0.98,0.9655,29
fonetico_fuerte,33,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4919,0.98,0.9667,30
fonetico_fuerte,34,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,7292,0.98,0.9677,31
fonetico_fuerte,35,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,3126,0.98,0.9687,32
fonetico_fuerte,36,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4008,0.98,0.9697,33
fonetico_fuerte,37,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,4896,0.98,0.9706,34
fonetico_fuerte,38,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,5369,0.98,0.9714,35
fonetico_fuerte,39,exploración controlada,M4_fonetico,Fonético,M1_visual,Visual,ex_vocal_o_001,vocal_o,0,5628,0.8765,0.075,4
fonetico_fuerte,40,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,5039,0.9733,0.9722,36
balanceado,1,exploración,,,M1_visual,Visual,ex_vocal_a_001,vocal_a,0,6030,0.1552,0.0,1
balanceado,2,exploración,,,M1_visual,Visual,ex_vocal_e_001,vocal_e,0,7329,0.1552,0.0,2
balanceado,3,exploración,,,M1_visual,Visual,ex_vocal_i_001,vocal_i,0,7176,0.1552,0.0,3
balanceado,4,exploración,,,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,3335,0.5183,1.0,1
balanceado,5,exploración,,,M4_fonetico,Fonético,ex_vocal_e_002,vocal_e,1,4247,0.5183,1.0,2
balanceado,6,exploración,,,M4_fonetico,Fonético,ex_vocal_i_002,vocal_i,1,4321,0.5183,1.0,3
balanceado,7,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_o_002,vocal_o,1,5024,0.648,1.0,4
balanceado,8,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,0,6214,0.1552,0.8,5
balanceado,9,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_u_002,vocal_u,1,4282,0.5183,0.8333,6
balanceado,10,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,5934,0.2243,0.7357,7
balanceado,11,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,8064,0.1507,0.6438,8
balanceado,12,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,3576,0.5107,0.6833,9
balanceado,13,exploración controlada,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,0,5822,0.2216,0.63,10
balanceado,14,personalización,M4_fonetico,Fonético,M4_fonetico,Fonético,ex_vocal_a_002,vocal_a,1,2638,0.6142,0.6636,11
